"temperature_diff_fall","blk","nov_germ","pop","dam","sire","nov_size","mar_surv","mar_size","fruit_count","total_est_seeds","temperature_diff_annual","precip_diff_spring","first_fl_julian","last_fl_julian"
1.18789374775554,1,0,"AY","AY29","AY44",NA,0,NA,0,0,1.07563886883077,22.536,NA,NA
1.18789374775554,3,1,"AY","AY35","AY29",5,1,2,0,0,1.07563886883077,22.536,NA,NA
1.66500674710466,3,0,"BB","BB44","BB37",NA,0,NA,0,0,1.57928002067038,12.0278333333333,NA,NA
1.9434352962999,3,1,"BC","BC54","BC37",1,1,6,0,0,1.81169988714482,13.35525,NA,NA
-1.4869125573774,3,1,"AR","AR37","AR46",1,0,NA,0,0,-0.641963376758893,28.6254166666667,NA,NA
0.697264799416338,4,1,"AD","AD71.3","AD75.1",1,0,NA,0,0,0.650124776131934,6.504,NA,NA
-1.30174405621358,3,1,"AC","AC21","AC47",5,1,10,0,0,-1.16308459944283,17.9914166666667,NA,NA
-1.09630163156466,4,1,"AZ","AZ29","AZ06",NA,1,6,0,0,-0.458115330717411,23.7940833333333,NA,NA
-0.142075632866406,1,1,"BK","BK46","BK47",4,1,6,0,0,0.211170732375449,20.6783333333333,181,181
0.67834247083026,1,1,"BN","BN11","BN26",4,1,6,0,0,0.771337408031165,7.8483333333333,NA,NA
-0.693526351660861,1,1,"AX","AX06","AX39",3,1,6,0,0,-1.47343268247347,23.0090833333333,NA,NA
-1.30174405621358,1,1,"AC","AC24","AC49",3,1,6,0,0,-1.16308459944283,17.9914166666667,NA,NA
-0.142075632866406,1,1,"BK","BK62","BK76",3,1,10,0,0,0.211170732375449,20.6783333333333,NA,NA
1.66500674710466,1,1,"BB","BB04","BB02",4,1,8,0,0,1.57928002067038,12.0278333333333,NA,NA
0.697264799416338,1,1,"AD","AD72.1","AD93.3",4,1,8,0,0,0.650124776131934,6.504,NA,NA
-0.693526351660861,1,1,"AX","AX44","AX23",3,1,4,0,0,-1.47343268247347,23.0090833333333,NA,NA
-0.142075632866406,1,1,"BK","BK52","BK61",3,1,4,0,0,0.211170732375449,20.6783333333333,NA,NA
-1.30174405621358,1,1,"AC","AC44","AC24",NA,1,6,0,0,-1.16308459944283,17.9914166666667,NA,NA
1.59877859705336,1,1,"BG","BG24","BG15",4,1,10,0,0,1.37611712902688,27.69175,NA,NA
1.66500674710466,1,1,"BB","BB37","BB15",NA,1,4,0,0,1.57928002067038,12.0278333333333,NA,NA
