genotype,concentration,length
Nok-0,0,9.88
Nok-0,25,NA
Nok-0,10,1.91
Nok-0,2.5,2.84
Nok-0,0.63,5.47
Nok-0,0.16,6.63
Nok-0,0.04,11.49
Nok-0,0.01,9.4
RLD1,0,12.19
RLD1,25,0.94
RLD1,10,1.97
RLD1,2.5,2.62
RLD1,0.63,3.86
RLD1,0.16,7.08
RLD1,0.04,7.56
RLD1,0.01,11.16
Se-0,0,14.11
Se-0,25,1.54
Se-0,10,2.37
Se-0,2.5,4.07
Se-0,0.63,6.89
Se-0,0.16,10.56
Se-0,0.04,12.95
Se-0,0.01,11.72
bzr22-1,0,6.4
bzr22-1,25,4.88
bzr22-1,10,3.91
bzr22-1,2.5,5.35
bzr22-1,0.63,6.65
bzr22-1,0.16,7.12
bzr22-1,0.04,8.15
bzr22-1,0.01,11.68
Col-0,0,13.86
Col-0,25,1.69
Col-0,10,1.71
Col-0,2.5,2.6
Col-0,0.63,5.42
Col-0,0.16,6.62
Col-0,0.04,11.3
Col-0,0.01,12.64
Gie-0,0,13.99
Gie-0,25,NA
Gie-0,10,1.53
Gie-0,2.5,1.72
Gie-0,0.63,4.55
Gie-0,0.16,7.99
Gie-0,0.04,11.32
Gie-0,0.01,10.36
Nok-0,0,8.46
Nok-0,25,NA
Nok-0,10,2.07
Nok-0,2.5,2.85
Nok-0,0.63,2.89
Nok-0,0.16,6.03
Nok-0,0.04,8.25
Nok-0,0.01,12.26
RLD1,0,13.68
RLD1,25,1.23
RLD1,10,2.33
RLD1,2.5,2.7
RLD1,0.63,3.23
RLD1,0.16,5.47
RLD1,0.04,9.49
RLD1,0.01,9.82
Se-0,0,14.39
Se-0,25,1.56
Se-0,10,2.93
Se-0,2.5,3.89
Se-0,0.63,4.82
Se-0,0.16,6.26
Se-0,0.04,14.46
Se-0,0.01,10.24
bzr22-1,0,11.64
bzr22-1,25,4.63
bzr22-1,10,4.15
bzr22-1,2.5,4.34
bzr22-1,0.63,8.27
bzr22-1,0.16,8.03
bzr22-1,0.04,7.13
bzr22-1,0.01,10.08
Col-0,0,9.86
Col-0,25,1.76
Col-0,10,1.24
Col-0,2.5,2.21
Col-0,0.63,5.26
Col-0,0.16,9.86
Col-0,0.04,13.16
Col-0,0.01,9.46
Gie-0,0,10.23
Gie-0,25,NA
Gie-0,10,1.54
Gie-0,2.5,2.49
Gie-0,0.63,4.45
Gie-0,0.16,7.26
Gie-0,0.04,10.39
Gie-0,0.01,12.06
Nok-0,0,11.97
Nok-0,25,NA
Nok-0,10,1.61
Nok-0,2.5,3.69
Nok-0,0.63,5.81
Nok-0,0.16,5.86
Nok-0,0.04,8.42
Nok-0,0.01,9.69
RLD1,0,15.52
RLD1,25,1.07
RLD1,10,1.52
RLD1,2.5,2.03
RLD1,0.63,3.85
RLD1,0.16,6.55
RLD1,0.04,8.24
RLD1,0.01,13.57
Se-0,0,12.01
Se-0,25,1.37
Se-0,10,1.9
Se-0,2.5,4.7
Se-0,0.63,4.99
Se-0,0.16,4.58
Se-0,0.04,9.24
Se-0,0.01,12.79
bzr22-1,0,8.19
bzr22-1,25,4.57
bzr22-1,10,4.99
bzr22-1,2.5,7.32
bzr22-1,0.63,5.03
bzr22-1,0.16,7.17
bzr22-1,0.04,8.97
bzr22-1,0.01,8.71
Col-0,0,9.14
