genotype,concentration,length
Se-0,37,6.32
Ge-0,37,5.43
Te-0,37,2.85
Mt-0,37,3.28
Col-0,37,2.31
hy4,37,7.98
Se-0,21,8.79
Ge-0,21,6.14
Te-0,21,2.57
Mt-0,21,4.43
Col-0,21,2.92
hy4,21,7.73
Se-0,3.9,8.3
Ge-0,3.9,6.2
Te-0,3.9,5.63
Mt-0,3.9,4.5
Col-0,3.9,4.45
hy4,3.9,5.83
Se-0,0.74,7.31
Ge-0,0.74,8.46
Te-0,0.74,6.14
Mt-0,0.74,4.83
Col-0,0.74,7.14
hy4,0.74,5.7
Se-0,0.12,9.45
Ge-0,0.12,9.53
Te-0,0.12,9.34
Mt-0,0.12,8.68
Col-0,0.12,6.25
hy4,0.12,6.68
Se-0,0.09,7.13
Ge-0,0.09,8.35
Te-0,0.09,7.57
Mt-0,0.09,8.62
Col-0,0.09,7.02
hy4,0.09,6.83
Se-0,0,11.49
Ge-0,0,14.29
Te-0,0,10.69
Mt-0,0,8.61
Col-0,0,8.3
hy4,0,8.37
Se-0,37,7.72
Ge-0,37,4.6
Te-0,37,3.98
Mt-0,37,4.63
Col-0,37,2.73
hy4,37,5.25
Se-0,21,8.47
Ge-0,21,6.47
Te-0,21,2.33
Mt-0,21,3.72
Col-0,21,3.28
hy4,21,8.96
Se-0,3.9,8.73
Ge-0,3.9,5.94
Te-0,3.9,4.71
Mt-0,3.9,4.82
Col-0,3.9,3.91
hy4,3.9,5.62
Se-0,0.74,4.96
Ge-0,0.74,7.85
Te-0,0.74,6.89
Mt-0,0.74,5.82
Col-0,0.74,6.3
hy4,0.74,6.13
Se-0,0.12,5.59
Ge-0,0.12,8.64
Te-0,0.12,7.4
Mt-0,0.12,8.35
Col-0,0.12,8.4
hy4,0.12,7.63
Se-0,0.09,4.73
Ge-0,0.09,8.87
Te-0,0.09,8.12
Mt-0,0.09,6.71
Col-0,0.09,7.96
hy4,0.09,6.89
Se-0,0,12.46
Ge-0,0,14.15
Te-0,0,10.84
Mt-0,0,9.89
Col-0,0,8.02
hy4,0,8.2
Se-0,37,7.23
Ge-0,37,5.04
Te-0,37,2.47
Mt-0,37,3.88
Col-0,37,2.93
hy4,37,6.05
Se-0,21,5.23
Ge-0,21,6.11
Te-0,21,2.71
Mt-0,21,5.06
Col-0,21,3.32
hy4,21,7.34
Se-0,3.9,9.56
Ge-0,3.9,7.84
Te-0,3.9,4.64
Mt-0,3.9,3.64
Col-0,3.9,4.45
hy4,3.9,5.88
Se-0,0.74,8.59
Ge-0,0.74,9.31
Te-0,0.74,6.62
Mt-0,0.74,7.89
Col-0,0.74,7.27
hy4,0.74,6.31
Se-0,0.12,8.98
Ge-0,0.12,10.95
Te-0,0.12,5.99
Mt-0,0.12,9.14
Col-0,0.12,7.37
hy4,0.12,6.82
Se-0,0.09,11.78
Ge-0,0.09,7.67
Te-0,0.09,8.19
Mt-0,0.09,6.88
Col-0,0.09,9.83
hy4,0.09,7.88
Se-0,0,12.22
Ge-0,0,16.89
Te-0,0,11.94
Mt-0,0,8.4
Col-0,0,12.33
hy4,0,8.79
Se-0,37,6.08
Ge-0,37,4.98
Te-0,37,2.59
Mt-0,37,3.98
Col-0,37,3.92
hy4,37,9.58
Se-0,21,6.56
Ge-0,21,5.72
Te-0,21,2.17
Mt-0,21,3.97
Col-0,21,4.3
hy4,21,8.24
Se-0,3.9,6.42
Ge-0,3.9,7.04
Te-0,3.9,3.93
Mt-0,3.9,4.44
Col-0,3.9,5.51
hy4,3.9,5.38
Se-0,0.74,8.23
Ge-0,0.74,8.39
Te-0,0.74,7.38
Mt-0,0.74,7.82
Col-0,0.74,7.95
hy4,0.74,6.94
Se-0,0.12,10.77
Ge-0,0.12,9.87
Te-0,0.12,8.54
Mt-0,0.12,10.8
Col-0,0.12,7.84
hy4,0.12,6.44
Se-0,0.09,10.29
Ge-0,0.09,11.83
Te-0,0.09,10.55
Mt-0,0.09,7.98
Col-0,0.09,6.58
hy4,0.09,7.34
Se-0,0,13.13
Ge-0,0,11.67
Te-0,0,8.86
Mt-0,0,8.28
Col-0,0,10.87
hy4,0,7.56
Se-0,37,5.04
Ge-0,37,6.34
Te-0,37,3.04
Mt-0,37,4.4
Col-0,37,3.7
hy4,37,4.8
Se-0,21,7.33
Ge-0,21,6.71
Te-0,21,2.22
Mt-0,21,3.67
Col-0,21,2.2
hy4,21,6.6
Se-0,3.9,5.25
Ge-0,3.9,7.57
Te-0,3.9,5.29
Mt-0,3.9,4.38
Col-0,3.9,6.25
hy4,3.9,5.26
Se-0,0.74,7.5
Ge-0,0.74,7.62
Te-0,0.74,5.9
Mt-0,0.74,7.91
Col-0,0.74,7.11
hy4,0.74,5.15
Se-0,0.12,8.52
Ge-0,0.12,9.71
Te-0,0.12,9.5
Mt-0,0.12,9.78
Col-0,0.12,7.77
hy4,0.12,6.5
Se-0,0.09,6.76
Ge-0,0.09,7.92
Te-0,0.09,9.34
Mt-0,0.09,8.98
Col-0,0.09,4.61
hy4,0.09,10.03
Se-0,0,9.76
Ge-0,0,14.44
Te-0,0,11.34
Mt-0,0,9.26
Col-0,0,10.07
hy4,0,9.93
Se-0,37,6.27
Ge-0,37,5.55
Te-0,37,3.02
Mt-0,37,3.6
Col-0,37,3.13
hy4,37,8.72
Se-0,21,6.05
Ge-0,21,5.7
Te-0,21,2.26
Mt-0,21,3.66
Col-0,21,4.32
hy4,21,4.73
Se-0,3.9,5.1
Ge-0,3.9,7.83
Te-0,3.9,4.43
Mt-0,3.9,3.61
Col-0,3.9,4.44
hy4,3.9,5.22
Se-0,0.74,8.73
Ge-0,0.74,10.55
Te-0,0.74,5.71
Mt-0,0.74,5.84
Col-0,0.74,6.53
hy4,0.74,6.24
Se-0,0.12,9.02
Ge-0,0.12,8.4
Te-0,0.12,7.59
Mt-0,0.12,8.56
Col-0,0.12,10.15
hy4,0.12,5.99
Se-0,0.09,10.63
Ge-0,0.09,9.86
Te-0,0.09,7.79
Mt-0,0.09,8.9
Col-0,0.09,5.51
hy4,0.09,6.59
Se-0,0,12.04
Ge-0,0,15.79
Te-0,0,9.05
Mt-0,0,9.39
Col-0,0,8.83
hy4,0,8.14
Se-0,37,6.49
Ge-0,37,5.47
Te-0,37,2.27
Mt-0,37,3.91
Col-0,37,4.16
hy4,37,8.35
Se-0,21,5.64
Ge-0,21,5.54
Te-0,21,2.21
Mt-0,21,4.57
Col-0,21,3.3
hy4,21,7.48
Se-0,3.9,4.27
Ge-0,3.9,6.75
Te-0,3.9,4.18
Mt-0,3.9,3.54
Col-0,3.9,3.42
hy4,3.9,6.44
Se-0,0.74,11.49
Ge-0,0.74,7.39
Te-0,0.74,6.5
Mt-0,0.74,6.86
Col-0,0.74,8.48
hy4,0.74,6.39
Se-0,0.12,6.57
Ge-0,0.12,8.54
Te-0,0.12,8.71
Mt-0,0.12,9.08
Col-0,0.12,10.97
hy4,0.12,8.72
Se-0,0.09,7.01
Ge-0,0.09,9.69
Te-0,0.09,8.21
Mt-0,0.09,8.06
Col-0,0.09,8.4
hy4,0.09,7.96
Se-0,0,10.63
Ge-0,0,18.63
Te-0,0,11.3
Mt-0,0,7.43
Col-0,0,8.4
hy4,0,7.62
Se-0,37,2.3
Ge-0,37,2.87
Te-0,37,2.15
Mt-0,37,3.74
Col-0,37,3.24
hy4,37,5.98
Se-0,21,6.57
Ge-0,21,4.64
Te-0,21,2.65
Mt-0,21,3.18
Col-0,21,3.79
hy4,21,7.73
Se-0,3.9,5.84
Ge-0,3.9,7.86
Te-0,3.9,4.66
Mt-0,3.9,4.32
Col-0,3.9,5.57
hy4,3.9,6.01
Se-0,0.74,9.19
Ge-0,0.74,9.12
Te-0,0.74,7.41
Mt-0,0.74,6.54
Col-0,0.74,8.42
hy4,0.74,6.05
Se-0,0.12,12.8
Ge-0,0.12,8.92
Te-0,0.12,7.68
Mt-0,0.12,8.43
Col-0,0.12,7.66
hy4,0.12,5.78
Se-0,0.09,10.9
Ge-0,0.09,8.82
Te-0,0.09,11.44
Mt-0,0.09,8.6
Col-0,0.09,8
hy4,0.09,8.31
Se-0,0,10.01
Ge-0,0,17.26
Te-0,0,10.47
Mt-0,0,8.38
Col-0,0,10.84
hy4,0,7.47
Se-0,37,3.89
Ge-0,37,5.5
Te-0,37,1.84
Mt-0,37,3.52
Col-0,37,4.1
hy4,37,10.46
Se-0,21,4.89
Ge-0,21,6.47
Te-0,21,2.89
Mt-0,21,4.66
Col-0,21,3.38
hy4,21,6.76
Se-0,3.9,4.79
Ge-0,3.9,6.69
Te-0,3.9,3.57
Mt-0,3.9,3.91
Col-0,3.9,4.07
hy4,3.9,6.67
Se-0,0.74,4.85
Ge-0,0.74,9.64
Te-0,0.74,7.24
Mt-0,0.74,7.09
Col-0,0.74,6
hy4,0.74,5.33
Se-0,0.12,12.41
Ge-0,0.12,8.55
Te-0,0.12,7.45
Mt-0,0.12,6.97
Col-0,0.12,10.15
hy4,0.12,5.91
Se-0,0.09,6.64
Ge-0,0.09,9.38
