genotype,concentration,length
Lm-2,19,2.01
Kas1-1,19,1.92
Or-0,19,0.78
Pi-0,19,0.63
Col-0,19,0.72
phyA 211,19,9.26
Lm-2,4.9,4.3
Kas1-1,4.9,1.61
Or-0,4.9,1.01
Pi-0,4.9,1.22
Col-0,4.9,0.61
phyA 211,4.9,12.51
Lm-2,1.2,10.27
Kas1-1,1.2,2.05
Or-0,1.2,1.35
Pi-0,1.2,1.68
Col-0,1.2,1.39
phyA 211,1.2,10.37
Lm-2,0.44,12.98
Kas1-1,0.44,7.09
Or-0,0.44,2.66
Pi-0,0.44,2.92
Col-0,0.44,2.77
phyA 211,0.44,10.48
Lm-2,0.14,11.34
Kas1-1,0.14,9.45
Or-0,0.14,7.33
Pi-0,0.14,7.47
Col-0,0.14,7.18
phyA 211,0.14,9.04
Lm-2,0.03,10.8
Kas1-1,0.03,13.1
Or-0,0.03,9.97
Pi-0,0.03,14.23
Col-0,0.03,11.31
phyA 211,0.03,10.19
Lm-2,0.01,12.44
Kas1-1,0.01,12.42
Or-0,0.01,10.48
Pi-0,0.01,10.98
Col-0,0.01,10.44
phyA 211,0.01,9.69
Lm-2,0,10.98
Kas1-1,0,11.65
Or-0,0,11.12
Pi-0,0,16.22
Col-0,0,12.94
phyA 211,0,10.86
Lm-2,19,2.37
Kas1-1,19,1.59
Or-0,19,0.85
Pi-0,19,0.68
Col-0,19,0.66
phyA 211,19,7.93
Lm-2,4.9,3.57
Kas1-1,4.9,1.79
Or-0,4.9,0.78
Pi-0,4.9,1.24
Col-0,4.9,0.78
phyA 211,4.9,11.57
Lm-2,1.2,10.73
Kas1-1,1.2,3.31
Or-0,1.2,1.11
Pi-0,1.2,1.32
Col-0,1.2,1.84
phyA 211,1.2,11.01
Lm-2,0.44,13.87
Kas1-1,0.44,6.24
Or-0,0.44,1.41
Pi-0,0.44,2.86
Col-0,0.44,3.43
phyA 211,0.44,10.64
Lm-2,0.14,13.36
Kas1-1,0.14,9.88
Or-0,0.14,8.67
Pi-0,0.14,7.68
Col-0,0.14,5.51
phyA 211,0.14,8.35
Lm-2,0.03,11.79
Kas1-1,0.03,11.05
Or-0,0.03,8.67
Pi-0,0.03,12.55
Col-0,0.03,10.59
phyA 211,0.03,11.41
Lm-2,0.01,13.2
Kas1-1,0.01,11.43
Or-0,0.01,11.65
Pi-0,0.01,11.11
Col-0,0.01,9.38
phyA 211,0.01,9.02
Lm-2,0,14
Kas1-1,0,11.01
Or-0,0,12.56
Pi-0,0,11.41
Col-0,0,12.85
phyA 211,0,11.6
Lm-2,19,1.79
Kas1-1,19,1.62
Or-0,19,0.68
Pi-0,19,0.85
Col-0,19,0.98
phyA 211,19,10.17
Lm-2,4.9,3.92
Kas1-1,4.9,2.88
Or-0,4.9,0.73
Pi-0,4.9,0.94
Col-0,4.9,0.72
