genotype,concentration,length
Sf-2,9.74,8.69
Mir-0,7.78,8.03
Gre-0,6.14,7.55
Mt-0,5.83,5.1
Col-0,3.11,2.56
GA1,2.55,2.08
Sf-2,7.55,7.1
Mir-0,9.03,6.99
Gre-0,6.64,6.75
Mt-0,5.05,4.69
Col-0,4.71,2.43
GA1,2.02,2.3
Sf-2,8.22,7.13
Mir-0,6.92,8.61
Gre-0,7.9,5.52
Mt-0,5.32,5.22
Col-0,5.09,3.25
GA1,2.25,2.13
Sf-2,8.37,6.37
Mir-0,6.86,7.48
Gre-0,6.45,5.85
Mt-0,5.29,4.9
Col-0,3.35,3.88
GA1,2.58,2.13
Sf-2,7.52,5.01
Mir-0,6.96,7.7
Gre-0,4.67,4.01
Mt-0,2.89,2.81
Col-0,2.12,2.07
GA1,2.07,1.59
Sf-2,5.99,6.43
Mir-0,4,4.88
Gre-0,5.31,5.02
Mt-0,2.77,2.98
Col-0,3.36,2.7
GA1,2.31,1.77
Sf-2,5.91,6.39
Mir-0,3.71,3.83
Gre-0,3.88,4.99
Mt-0,3.37,2.54
Col-0,2.48,1.16
GA1,2.56,1.82
Sf-2,5.81,5.11
Mir-0,4.32,4.52
Gre-0,4.75,3.52
Mt-0,2.76,3.14
Col-0,3.39,1.48
GA1,2.37,1.73
Sf-2,9.74,9.24
Mir-0,7.78,8.76
Gre-0,6.14,8.33
Mt-0,5.83,3.36
Col-0,3.11,4.4
GA1,2.55,2.42
Sf-2,7.55,8.29
Mir-0,9.03,8.17
Gre-0,6.64,7.35
Mt-0,5.05,4.58
Col-0,4.71,3.69
GA1,2.02,2.99
Sf-2,8.22,8.59
Mir-0,6.92,8.15
Gre-0,7.9,7.08
Mt-0,5.32,5.46
Col-0,5.09,3.98
GA1,2.25,1.99
Sf-2,8.37,6.5
Mir-0,6.86,6.84
Gre-0,6.45,6.8
Mt-0,5.29,4.85
Col-0,3.35,4.32
GA1,2.58,1.6
Sf-2,7.52,6.49
Mir-0,6.96,6.42
Gre-0,4.67,4.09
Mt-0,2.89,2.65
Col-0,2.12,2.99
GA1,2.07,2.38
Sf-2,5.99,6.16
Mir-0,4,3.19
Gre-0,5.31,3.78
Mt-0,2.77,4.06
Col-0,3.36,2.04
GA1,2.31,1.83
Sf-2,5.91,4.14
Mir-0,3.71,4.18
Gre-0,3.88,4.25
Mt-0,3.37,3.05
Col-0,2.48,1.47
GA1,2.56,2.1
Sf-2,5.81,5.21
Mir-0,4.32,3.65
Gre-0,4.75,3.4
Mt-0,2.76,3.23
Col-0,3.39,1.35
GA1,2.37,2.27
Sf-2,9.74,10.21
Mir-0,7.78,8.86
Gre-0,6.14,4.92
Mt-0,5.83,3.76
Col-0,3.11,2.14
GA1,2.55,2.57
Sf-2,7.55,7.76
Mir-0,9.03,9.22
Gre-0,6.64,7.11
Mt-0,5.05,4.05
Col-0,4.71,4.71
GA1,2.02,2.48
Sf-2,8.22,7.72
