genotype,concentration,length
Ber-0,37,3.96
Br-0,37,7.31
Rsch-0,37,3.95
Se-0,37,9.27
Col-0,37,5.39
phyB-9,37,10.36
Ber-0,17,3.62
Br-0,17,10.38
Rsch-0,17,3.86
Se-0,17,8.57
Col-0,17,5.21
phyB-9,17,14.9
Ber-0,3.3,5.71
Br-0,3.3,9.07
Rsch-0,3.3,3.75
Se-0,3.3,7.23
Col-0,3.3,4.42
phyB-9,3.3,14.96
Ber-0,1.4,4.76
Br-0,1.4,6.71
Rsch-0,1.4,4.37
Se-0,1.4,7.69
Col-0,1.4,4.15
phyB-9,1.4,14.05
Ber-0,0.2,6.71
Br-0,0.2,8.39
Rsch-0,0.2,6.36
Se-0,0.2,12.03
Col-0,0.2,6.75
phyB-9,0.2,13.42
Ber-0,0.1,11.72
Br-0,0.1,13.99
Rsch-0,0.1,9.76
Se-0,0.1,11.97
Col-0,0.1,4.8
phyB-9,0.1,13.68
Ber-0,0.01,9.21
Br-0,0.01,10.18
Rsch-0,0.01,7.55
Se-0,0.01,10.95
Col-0,0.01,12.33
phyB-9,0.01,12.93
Ber-0,0,13.32
Br-0,0,12.27
Rsch-0,0,13.52
Se-0,0,10.07
Col-0,0,12.13
phyB-9,0,12.18
Ber-0,37,3.34
Br-0,37,9.4
Rsch-0,37,3.11
Se-0,37,10.45
Col-0,37,4.76
phyB-9,37,12.38
Ber-0,17,3.51
Br-0,17,6.8
Rsch-0,17,4.96
Se-0,17,10.73
Col-0,17,4.36
phyB-9,17,14.57
Ber-0,3.3,5.56
Br-0,3.3,7.18
Rsch-0,3.3,4.65
Se-0,3.3,8.69
Col-0,3.3,5.33
phyB-9,3.3,13.49
Ber-0,1.4,7.34
Br-0,1.4,9.26
Rsch-0,1.4,5.6
Se-0,1.4,8.76
Col-0,1.4,4.69
phyB-9,1.4,10.26
Ber-0,0.2,8.81
Br-0,0.2,9.18
Rsch-0,0.2,5.88
Se-0,0.2,9.4
Col-0,0.2,6.92
phyB-9,0.2,13.16
Ber-0,0.1,11.53
Br-0,0.1,13.26
Rsch-0,0.1,8.33
Se-0,0.1,11.03
Col-0,0.1,10.38
phyB-9,0.1,12.23
Ber-0,0.01,9.5
Br-0,0.01,12.51
Rsch-0,0.01,8.96
Se-0,0.01,10.69
Col-0,0.01,8.68
phyB-9,0.01,10.06
Ber-0,0,10.77
Br-0,0,11.6
Rsch-0,0,12.52
Se-0,0,10.13
Col-0,0,12.23
phyB-9,0,12.49
Ber-0,37,3.7
Br-0,37,6.37
Rsch-0,37,3.71
Se-0,37,11.46
Col-0,37,6.37
phyB-9,37,11.45
Ber-0,17,3.59
Br-0,17,6.8
Rsch-0,17,5.47
Se-0,17,12.15
Col-0,17,7.12
phyB-9,17,14.51
Ber-0,3.3,6.43
Br-0,3.3,7.99
Rsch-0,3.3,3.07
Se-0,3.3,12.15
Col-0,3.3,5.5
phyB-9,3.3,11.16
Ber-0,1.4,5.99
Br-0,1.4,8.35
Rsch-0,1.4,4.59
Se-0,1.4,12.23
Col-0,1.4,6.2
phyB-9,1.4,15.3
Ber-0,0.2,6.84
Br-0,0.2,6.69
Rsch-0,0.2,5.66
Se-0,0.2,9.52
Col-0,0.2,8.59
phyB-9,0.2,16.23
Ber-0,0.1,10.7
Br-0,0.1,14.15
Rsch-0,0.1,9.33
Se-0,0.1,10.97
Col-0,0.1,10.66
phyB-9,0.1,10.16
