genotype,concentration,length
Kas-1-1,217,0.89
Se-0,217,1.18
Chi-0,217,0.88
Ms-0-1,217,1.02
Col-0,217,1.05
hy5,217,0.86
Kas-1-1,123,1.53
Se-0,123,3.23
Chi-0,123,0.88
Ms-0-1,123,0.72
Col-0,123,1.46
hy5,123,NA
Kas-1-1,29,6.34
Se-0,29,8.57
Chi-0,29,2.72
Ms-0-1,29,4.77
Col-0,29,6.06
hy5,29,7.81
Kas-1-1,5.6,10.7
Se-0,5.6,11.15
Chi-0,5.6,5.05
Ms-0-1,5.6,3.73
Col-0,5.6,7.87
hy5,5.6,5.2
Kas-1-1,2.2,9.87
Se-0,2.2,6.24
Chi-0,2.2,5
Ms-0-1,2.2,5.02
Col-0,2.2,7.41
hy5,2.2,4.75
Kas-1-1,0.4,7.01
Se-0,0.4,6.67
Chi-0,0.4,7.81
Ms-0-1,0.4,6.03
Col-0,0.4,9.39
hy5,0.4,6.76
Kas-1-1,0.06,9.51
Se-0,0.06,10.91
Chi-0,0.06,6.95
Ms-0-1,0.06,8.22
Col-0,0.06,8.17
hy5,0.06,8.7
Kas-1-1,0,12.63
Se-0,0,14.19
Chi-0,0,12.65
Ms-0-1,0,11.73
Col-0,0,12.19
hy5,0,9.17
Kas-1-1,217,1.42
Se-0,217,0.87
Chi-0,217,1.04
Ms-0-1,217,1.13
Col-0,217,1.33
hy5,217,1
Kas-1-1,123,1.27
Se-0,123,2.61
Chi-0,123,1.15
Ms-0-1,123,1.09
Col-0,123,1.44
hy5,123,2.27
Kas-1-1,29,5.77
Se-0,29,9.33
Chi-0,29,2.39
Ms-0-1,29,2.94
Col-0,29,4.47
hy5,29,8.44
Kas-1-1,5.6,8.57
Se-0,5.6,9.01
Chi-0,5.6,4.02
Ms-0-1,5.6,3.56
Col-0,5.6,6.98
hy5,5.6,5.6
Kas-1-1,2.2,10.84
Se-0,2.2,9.07
Chi-0,2.2,5.31
Ms-0-1,2.2,6.26
Col-0,2.2,7.98
hy5,2.2,4.63
Kas-1-1,0.4,9.36
Se-0,0.4,9.18
Chi-0,0.4,5.57
Ms-0-1,0.4,6.67
Col-0,0.4,7.99
hy5,0.4,5.05
Kas-1-1,0.06,8.44
Se-0,0.06,8.92
Chi-0,0.06,7.19
Ms-0-1,0.06,4.7
Col-0,0.06,6.05
hy5,0.06,7.83
Kas-1-1,0,10.62
Se-0,0,15.17
Chi-0,0,12.98
Ms-0-1,0,12.87
Col-0,0,13.58
hy5,0,10.59
Kas-1-1,217,1.24
Se-0,217,1.14
Chi-0,217,0.98
Ms-0-1,217,0.87
Col-0,217,1.02
hy5,217,1.04
Kas-1-1,123,1.25
Se-0,123,2.39
Chi-0,123,1.09
Ms-0-1,123,0.87
Col-0,123,1.07
hy5,123,2.68
Kas-1-1,29,8.65
Se-0,29,10.61
Chi-0,29,3.62
Ms-0-1,29,3.93
Col-0,29,5.82
hy5,29,9.26
Kas-1-1,5.6,13.55
Se-0,5.6,9.96
Chi-0,5.6,6.6
Ms-0-1,5.6,3.71
Col-0,5.6,9.97
hy5,5.6,6.09
Kas-1-1,2.2,11.16
Se-0,2.2,8.74
Chi-0,2.2,5.9
Ms-0-1,2.2,4.86
Col-0,2.2,8.13
hy5,2.2,4.65
Kas-1-1,0.4,6.6
Se-0,0.4,9.59
Chi-0,0.4,5.31
Ms-0-1,0.4,8.61
Col-0,0.4,8.2
hy5,0.4,4.32
Kas-1-1,0.06,8.65
Se-0,0.06,10.01
Chi-0,0.06,5.65
Ms-0-1,0.06,6.78
Col-0,0.06,8.52
hy5,0.06,7.43
Kas-1-1,0,11.17
Se-0,0,13.74
Chi-0,0,12.88
Ms-0-1,0,12.36
Col-0,0,13.39
hy5,0,10.95
Kas-1-1,217,1.07
Se-0,217,1.24
Chi-0,217,0.99
Ms-0-1,217,1.52
Col-0,217,0.87
hy5,217,1.22
Kas-1-1,123,1.16
Se-0,123,2.5
Chi-0,123,1.17
Ms-0-1,123,1.02
Col-0,123,1.6
hy5,123,3.59
Kas-1-1,29,5.9
Se-0,29,7.36
Chi-0,29,1.96
Ms-0-1,29,2.51
Col-0,29,5.01
hy5,29,9.78
Kas-1-1,5.6,12.9
Se-0,5.6,10.33
Chi-0,5.6,6.03
Ms-0-1,5.6,5.75
Col-0,5.6,9
hy5,5.6,4.1
Kas-1-1,2.2,7.12
Se-0,2.2,10.95
Chi-0,2.2,5.88
Ms-0-1,2.2,5.21
Col-0,2.2,7.15
hy5,2.2,4.08
Kas-1-1,0.4,8.11
Se-0,0.4,10.88
Chi-0,0.4,5.57
Ms-0-1,0.4,5.21
Col-0,0.4,7.21
hy5,0.4,5.34
Kas-1-1,0.06,8.29
Se-0,0.06,11.22
Chi-0,0.06,5.93
Ms-0-1,0.06,7.16
Col-0,0.06,7.27
hy5,0.06,5.2
Kas-1-1,0,14.85
Se-0,0,9.45
Chi-0,0,11.66
Ms-0-1,0,10.34
Col-0,0,9.03
hy5,0,10.09
Kas-1-1,217,1.08
Se-0,217,1.39
Chi-0,217,0.87
Ms-0-1,217,1.64
Col-0,217,0.82
hy5,217,0.98
Kas-1-1,123,1.3
Se-0,123,2.85
Chi-0,123,0.71
Ms-0-1,123,0.99
Col-0,123,1.24
hy5,123,3.55
Kas-1-1,29,4.72
Se-0,29,7.95
Chi-0,29,3.11
Ms-0-1,29,4.09
Col-0,29,5.66
hy5,29,7.9
Kas-1-1,5.6,11.05
Se-0,5.6,11.48
Chi-0,5.6,4.67
Ms-0-1,5.6,5.01
Col-0,5.6,9.41
hy5,5.6,2.37
Kas-1-1,2.2,8.13
Se-0,2.2,11.95
Chi-0,2.2,4.64
Ms-0-1,2.2,5.74
Col-0,2.2,9.39
hy5,2.2,7.84
Kas-1-1,0.4,8.36
Se-0,0.4,8.2
Chi-0,0.4,7.11
Ms-0-1,0.4,5.27
Col-0,0.4,7.93
hy5,0.4,4.52
Kas-1-1,0.06,9.02
Se-0,0.06,8.48
Chi-0,0.06,6.87
Ms-0-1,0.06,7.48
Col-0,0.06,7.27
hy5,0.06,8.21
Kas-1-1,0,10.69
Se-0,0,12.65
Chi-0,0,11.77
Ms-0-1,0,13.03
Col-0,0,13.61
hy5,0,9.05
Kas-1-1,217,1.04
Se-0,217,1.38
Chi-0,217,1.07
Ms-0-1,217,1.08
Col-0,217,0.88
hy5,217,1.12
Kas-1-1,123,1.42
Se-0,123,3.17
Chi-0,123,1.06
Ms-0-1,123,1.17
Col-0,123,1.24
hy5,123,3.49
Kas-1-1,29,8.51
Se-0,29,10.82
Chi-0,29,1.53
Ms-0-1,29,3.16
Col-0,29,6.17
hy5,29,8.25
Kas-1-1,5.6,9.8
Se-0,5.6,11
Chi-0,5.6,6.11
Ms-0-1,5.6,5.08
Col-0,5.6,7.01
hy5,5.6,4.18
Kas-1-1,2.2,8.1
Se-0,2.2,7.86
Chi-0,2.2,5.44
Ms-0-1,2.2,5.07
Col-0,2.2,6.63
hy5,2.2,4.66
Kas-1-1,0.4,8.41
Se-0,0.4,8.23
Chi-0,0.4,6.45
Ms-0-1,0.4,7.03
Col-0,0.4,9.55
hy5,0.4,5.03
Kas-1-1,0.06,9.39
Se-0,0.06,10.18
Chi-0,0.06,5.78
Ms-0-1,0.06,8.76
Col-0,0.06,6.48
hy5,0.06,5.74
Kas-1-1,0,10.82
Se-0,0,14.64
Chi-0,0,12.39
Ms-0-1,0,10.4
Col-0,0,12.42
hy5,0,9.18
Kas-1-1,217,1.24
Se-0,217,1.49
Chi-0,217,1.02
Ms-0-1,217,1.52
Col-0,217,0.76
hy5,217,1.22
Kas-1-1,123,1.33
Se-0,123,2.55
Chi-0,123,0.72
Ms-0-1,123,1.65
Col-0,123,1.19
hy5,123,2.9
Kas-1-1,29,7.46
Se-0,29,8.74
Chi-0,29,3.11
Ms-0-1,29,3.67
Col-0,29,6.12
hy5,29,10.42
Kas-1-1,5.6,10.46
Se-0,5.6,12.12
Chi-0,5.6,6.15
Ms-0-1,5.6,5.44
Col-0,5.6,8.61
hy5,5.6,7.28
Kas-1-1,2.2,9.03
Se-0,2.2,8.16
Chi-0,2.2,4.94
Ms-0-1,2.2,5.74
Col-0,2.2,5.88
hy5,2.2,5.51
Kas-1-1,0.4,9.31
Se-0,0.4,9.86
Chi-0,0.4,6.37
Ms-0-1,0.4,6.09
Col-0,0.4,5.31
hy5,0.4,6.11
Kas-1-1,0.06,10.45
Se-0,0.06,10.69
Chi-0,0.06,6.77
Ms-0-1,0.06,7.5
Col-0,0.06,5.03
hy5,0.06,6.89
Kas-1-1,0,15.33
Se-0,0,10.53
Chi-0,0,12.66
Ms-0-1,0,10.92
Col-0,0,12.71
hy5,0,8.94
Kas-1-1,217,1.1
Se-0,217,1.12
Chi-0,217,1.37
Ms-0-1,217,1.33
Col-0,217,1.01
hy5,217,1.03
Kas-1-1,123,1.41
Se-0,123,3.09
Chi-0,123,0.83
Ms-0-1,123,1.27
Col-0,123,1.24
hy5,123,2.24
Kas-1-1,29,6.83
Se-0,29,8.63
Chi-0,29,3.4
Ms-0-1,29,3.87
Col-0,29,6.32
hy5,29,9.12
Kas-1-1,5.6,11.37
Se-0,5.6,10.14
Chi-0,5.6,5.37
Ms-0-1,5.6,5.02
Col-0,5.6,7.57
hy5,5.6,4.64
Kas-1-1,2.2,10.72
Se-0,2.2,4.76
Chi-0,2.2,6.34
Ms-0-1,2.2,4.32
Col-0,2.2,5.9
hy5,2.2,4.7
Kas-1-1,0.4,8.33
Se-0,0.4,5.72
Chi-0,0.4,5.88
Ms-0-1,0.4,6.98
Col-0,0.4,8.62
hy5,0.4,3.39
Kas-1-1,0.06,8.62
Se-0,0.06,10.81
Chi-0,0.06,7.54
Ms-0-1,0.06,8.02
Col-0,0.06,8.01
hy5,0.06,5.41
Kas-1-1,0,11.54
Se-0,0,10.91
Chi-0,0,12.88
Ms-0-1,0,9.82
Col-0,0,15.65
hy5,0,5.2
Kas-1-1,217,1.13
Se-0,217,1.08
Chi-0,217,0.9
Ms-0-1,217,0.9
Col-0,217,0.92
hy5,217,1.21
Kas-1-1,123,1.29
Se-0,123,3.3
Chi-0,123,0.72
Ms-0-1,123,1.27
Col-0,123,1.47
hy5,123,3.02
Kas-1-1,29,5.22
Se-0,29,10.15
Chi-0,29,3.44
Ms-0-1,29,3.82
Col-0,29,5.38
hy5,29,9.23
Kas-1-1,5.6,9.4
Se-0,5.6,13.46
Chi-0,5.6,5.15
Ms-0-1,5.6,4.54
Col-0,5.6,8.55
hy5,5.6,4.23
Kas-1-1,2.2,10.38
Se-0,2.2,9.3
Chi-0,2.2,5.44
Ms-0-1,2.2,5.96
Col-0,2.2,6.27
hy5,2.2,4.05
Kas-1-1,0.4,7.68
Se-0,0.4,9.13
Chi-0,0.4,5.35
Ms-0-1,0.4,6.71
Col-0,0.4,7.63
hy5,0.4,5.74
Kas-1-1,0.06,8.01
Se-0,0.06,8.45
Chi-0,0.06,5.72
Ms-0-1,0.06,6.78
Col-0,0.06,5.83
hy5,0.06,7.35
Kas-1-1,0,11.35
Se-0,0,8.42
Chi-0,0,9.14
Ms-0-1,0,10.6
Col-0,0,12.78
hy5,0,10.25
Kas-1-1,217,1.4
Se-0,217,1.09
Chi-0,217,1.19
Ms-0-1,217,1.09
Col-0,217,1.42
hy5,217,1.47
Kas-1-1,123,1.48
Se-0,123,2.96
Chi-0,123,0.76
Ms-0-1,123,0.98
Col-0,123,1.03
hy5,123,3.56
Kas-1-1,29,4.04
Se-0,29,7.75
Chi-0,29,2.49
Ms-0-1,29,3.51
Col-0,29,5.78
hy5,29,5.58
Kas-1-1,5.6,12.37
Se-0,5.6,10.63
Chi-0,5.6,4.2
Ms-0-1,5.6,4.88
Col-0,5.6,3.08
hy5,5.6,5.19
Kas-1-1,2.2,11.25
Se-0,2.2,5.82
Chi-0,2.2,5.15
Ms-0-1,2.2,3.99
Col-0,2.2,6.82
hy5,2.2,4.92
Kas-1-1,0.4,9.59
Se-0,0.4,7.17
Chi-0,0.4,7.4
Ms-0-1,0.4,7.29
Col-0,0.4,6.3
hy5,0.4,5.04
Kas-1-1,0.06,9.31
Se-0,0.06,7.55
Chi-0,0.06,10.24
Ms-0-1,0.06,6.44
Col-0,0.06,6.66
hy5,0.06,7.52
Kas-1-1,0,11.07
Se-0,0,13.56
Chi-0,0,10.91
Ms-0-1,0,12.35
Col-0,0,12.24
hy5,0,8.05
Kas-1-1,217,NA
Se-0,217,1.83
Chi-0,217,1.06
Ms-0-1,217,1.14
Col-0,217,1.05
hy5,217,1.03
Kas-1-1,123,1.08
Se-0,123,4.3
Chi-0,123,1.09
Ms-0-1,123,1.3
Col-0,123,1.19
hy5,123,1.98
Kas-1-1,29,7.73
Se-0,29,7.07
Chi-0,29,3.5
Ms-0-1,29,3.35
Col-0,29,4.37
hy5,29,7.17
Kas-1-1,5.6,9.06
Se-0,5.6,8.83
Chi-0,5.6,5.55
Ms-0-1,5.6,3.31
Col-0,5.6,8.93
hy5,5.6,4.18
Kas-1-1,2.2,8.9
Se-0,2.2,6.72
Chi-0,2.2,4.52
Ms-0-1,2.2,4.5
Col-0,2.2,5.91
hy5,2.2,3.7
Kas-1-1,0.4,6.92
Se-0,0.4,8.41
Chi-0,0.4,7.27
Ms-0-1,0.4,4.83
Col-0,0.4,5.84
hy5,0.4,4.36
Kas-1-1,0.06,8.53
Se-0,0.06,10.21
Chi-0,0.06,11.21
Ms-0-1,0.06,6.17
Col-0,0.06,8.77
hy5,0.06,4.92
Kas-1-1,0,12.59
Se-0,0,16.77
Chi-0,0,13.11
Ms-0-1,0,11.71
Col-0,0,10.74
hy5,0,11.5
Kas-1-1,217,NA
Se-0,217,1.37
Chi-0,217,0.75
Ms-0-1,217,1.08
Col-0,217,0.83
hy5,217,0.97
Kas-1-1,123,1.82
Se-0,123,2.39
Chi-0,123,1.07
Ms-0-1,123,1.34
Col-0,123,1.2
hy5,123,3.46
Kas-1-1,29,5.11
Se-0,29,4.94
Chi-0,29,2.29
Ms-0-1,29,3.96
Col-0,29,5.98
hy5,29,10.08
Kas-1-1,5.6,8.76
Se-0,5.6,8.91
Chi-0,5.6,5.52
Ms-0-1,5.6,2.74
Col-0,5.6,7.63
hy5,5.6,3.91
Kas-1-1,2.2,8.92
Se-0,2.2,4.46
Chi-0,2.2,5.58
Ms-0-1,2.2,5.09
Col-0,2.2,7.64
hy5,2.2,3.41
Kas-1-1,0.4,9.18
Se-0,0.4,5.69
Chi-0,0.4,6.33
Ms-0-1,0.4,4.24
Col-0,0.4,6.01
hy5,0.4,4.42
Kas-1-1,0.06,8.12
