line,length,plate,light,exp,nativename,stockparent,latitude,longitude,site,region,country
6901,2.014,1AH,H,A,Bil-7,CS22579,63.324,18.484,Bil,NSweden,SWE
6901,1.477,1AH,H,A,Bil-7,CS22579,63.324,18.484,Bil,NSweden,SWE
6901,1.986,1AH,H,A,Bil-7,CS22579,63.324,18.484,Bil,NSweden,SWE
6901,2.744,1AH,H,A,Bil-7,CS22579,63.324,18.484,Bil,NSweden,SWE
6901,1.942,1AH,H,A,Bil-7,CS22579,63.324,18.484,Bil,NSweden,SWE
6901,1.935,1AH,H,A,Bil-7,CS22579,63.324,18.484,Bil,NSweden,SWE
6901,1.526,1AH,H,A,Bil-7,CS22579,63.324,18.484,Bil,NSweden,SWE
8357,4.827,1AH,H,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,3.735,1AH,H,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,4.396,1AH,H,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,6.042,1AH,H,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,3.843,1AH,H,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,1.87,1AH,H,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,4.613,1AH,H,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,5.701,1AH,H,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,2.133,1AH,H,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,3.154,1AH,H,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,5.405,1AH,H,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,5.696,1AH,H,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,5.819,1AH,H,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,5.265,1AH,H,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,3.172,1AH,H,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,2.446,1AH,H,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,2.179,1AH,H,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,2.202,1AH,H,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,2.572,1AH,H,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,3.155,1AH,H,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,2.824,1AH,H,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,2.697,1AH,H,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,3.957,1AH,H,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
6921,6.751,1AH,H,A,Got-7,CS22608,51.5338,9.9355,GÖT,WesternEurope,GER
6921,4.418,1AH,H,A,Got-7,CS22608,51.5338,9.9355,GÖT,WesternEurope,GER
6921,5.308,1AH,H,A,Got-7,CS22608,51.5338,9.9355,GÖT,WesternEurope,GER
6921,5.322,1AH,H,A,Got-7,CS22608,51.5338,9.9355,GÖT,WesternEurope,GER
6921,4.622,1AH,H,A,Got-7,CS22608,51.5338,9.9355,GÖT,WesternEurope,GER
6921,3.258,1AH,H,A,Got-7,CS22608,51.5338,9.9355,GÖT,WesternEurope,GER
6921,5.519,1AH,H,A,Got-7,CS22608,51.5338,9.9355,GÖT,WesternEurope,GER
6921,6.229,1AH,H,A,Got-7,CS22608,51.5338,9.9355,GÖT,WesternEurope,GER
6921,4.752,1AH,H,A,Got-7,CS22608,51.5338,9.9355,GÖT,WesternEurope,GER
6921,6.034,1AH,H,A,Got-7,CS22608,51.5338,9.9355,GÖT,WesternEurope,GER
6921,7.375,1AH,H,A,Got-7,CS22608,51.5338,9.9355,GÖT,WesternEurope,GER
6921,3.681,1AH,H,A,Got-7,CS22608,51.5338,9.9355,GÖT,WesternEurope,GER
6921,3.211,1AH,H,A,Got-7,CS22608,51.5338,9.9355,GÖT,WesternEurope,GER
6921,6.735,1AH,H,A,Got-7,CS22608,51.5338,9.9355,GÖT,WesternEurope,GER
6921,5.823,1AH,H,A,Got-7,CS22608,51.5338,9.9355,GÖT,WesternEurope,GER
6921,6.186,1AH,H,A,Got-7,CS22608,51.5338,9.9355,GÖT,WesternEurope,GER
6921,4.712,1AH,H,A,Got-7,CS22608,51.5338,9.9355,GÖT,WesternEurope,GER
6921,4.863,1AH,H,A,Got-7,CS22608,51.5338,9.9355,GÖT,WesternEurope,GER
6921,4.849,1AH,H,A,Got-7,CS22608,51.5338,9.9355,GÖT,WesternEurope,GER
6921,3.46,1AH,H,A,Got-7,CS22608,51.5338,9.9355,GÖT,WesternEurope,GER
6921,3.65,1AH,H,A,Got-7,CS22608,51.5338,9.9355,GÖT,WesternEurope,GER
6921,3.998,1AH,H,A,Got-7,CS22608,51.5338,9.9355,GÖT,WesternEurope,GER
7525,1.868,1AH,H,A,Rmx-A180,CS22569,42.036,-86.511,RMX,Midwest,USA
7525,2.674,1AH,H,A,Rmx-A180,CS22569,42.036,-86.511,RMX,Midwest,USA
7525,1.915,1AH,H,A,Rmx-A180,CS22569,42.036,-86.511,RMX,Midwest,USA
8275,3.439,1AH,H,A,Cen-0,CS1067,49,0.5,Cen,WesternEurope,FRA
8275,2.152,1AH,H,A,Cen-0,CS1067,49,0.5,Cen,WesternEurope,FRA
8275,1.97,1AH,H,A,Cen-0,CS1067,49,0.5,Cen,WesternEurope,FRA
8275,2.141,1AH,H,A,Cen-0,CS1067,49,0.5,Cen,WesternEurope,FRA
8275,1.901,1AH,H,A,Cen-0,CS1067,49,0.5,Cen,WesternEurope,FRA
6906,2.125,1AH,H,A,C24,CS22620,40.2077,-8.42639,Co,SouthernEurope,POR
6906,2.344,1AH,H,A,C24,CS22620,40.2077,-8.42639,Co,SouthernEurope,POR
6906,1.447,1AH,H,A,C24,CS22620,40.2077,-8.42639,Co,SouthernEurope,POR
6906,2.32,1AH,H,A,C24,CS22620,40.2077,-8.42639,Co,SouthernEurope,POR
6906,1.753,1AH,H,A,C24,CS22620,40.2077,-8.42639,Co,SouthernEurope,POR
6906,2.373,1AH,H,A,C24,CS22620,40.2077,-8.42639,Co,SouthernEurope,POR
6906,3.22,1AH,H,A,C24,CS22620,40.2077,-8.42639,Co,SouthernEurope,POR
6906,1.845,1AH,H,A,C24,CS22620,40.2077,-8.42639,Co,SouthernEurope,POR
6906,2.117,1AH,H,A,C24,CS22620,40.2077,-8.42639,Co,SouthernEurope,POR
6906,1.798,1AH,H,A,C24,CS22620,40.2077,-8.42639,Co,SouthernEurope,POR
6906,2.163,1AH,H,A,C24,CS22620,40.2077,-8.42639,Co,SouthernEurope,POR
6906,1.934,1AH,H,A,C24,CS22620,40.2077,-8.42639,Co,SouthernEurope,POR
6906,1.989,1AH,H,A,C24,CS22620,40.2077,-8.42639,Co,SouthernEurope,POR
6906,3.085,1AH,H,A,C24,CS22620,40.2077,-8.42639,Co,SouthernEurope,POR
6906,2.599,1AH,H,A,C24,CS22620,40.2077,-8.42639,Co,SouthernEurope,POR
6906,1.82,1AH,H,A,C24,CS22620,40.2077,-8.42639,Co,SouthernEurope,POR
6906,1.857,1AH,H,A,C24,CS22620,40.2077,-8.42639,Co,SouthernEurope,POR
6906,1.819,1AH,H,A,C24,CS22620,40.2077,-8.42639,Co,SouthernEurope,POR
6971,2.133,1AH,H,A,Ts-5,CS22648,41.7194,2.93056,Ts,SouthernEurope,ESP
7526,3.048,1AH,H,A,Pna-10,CS22571,42.0945,-86.3253,PNA,Midwest,USA
7526,2.126,1AH,H,A,Pna-10,CS22571,42.0945,-86.3253,PNA,Midwest,USA
7526,3.368,1AH,H,A,Pna-10,CS22571,42.0945,-86.3253,PNA,Midwest,USA
6901,4.528,1AL,L,A,Bil-7,CS22579,63.324,18.484,Bil,NSweden,SWE
6901,3.13,1AL,L,A,Bil-7,CS22579,63.324,18.484,Bil,NSweden,SWE
6897,4.299,1AL,L,A,Ag-0,CS22630,45,1.3,Ag,WesternEurope,FRA
6897,4.181,1AL,L,A,Ag-0,CS22630,45,1.3,Ag,WesternEurope,FRA
6897,6.491,1AL,L,A,Ag-0,CS22630,45,1.3,Ag,WesternEurope,FRA
6897,3.243,1AL,L,A,Ag-0,CS22630,45,1.3,Ag,WesternEurope,FRA
8357,6.799,1AL,L,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,6.121,1AL,L,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,5.477,1AL,L,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,4.822,1AL,L,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,6.595,1AL,L,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,5.071,1AL,L,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,5.521,1AL,L,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,5.194,1AL,L,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,5.803,1AL,L,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,5.005,1AL,L,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,5.405,1AL,L,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,5.221,1AL,L,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,4.56,1AL,L,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
8357,4.266,1AL,L,A,Pla-0,CS1459,41.5,2.25,Pla,SouthernEurope,ESP
