State,PercentageofMormonResidents
Alabama,0.0077
Alaska,0.0456
Arizona,0.061
Arkansas,0.0103
California,0.0197
Colorado,0.0274
Connecticut,0.0044
Delaware,0.0057
District of Columbia,0.004
Florida,0.0075
Georgia,0.0082
Hawaii,0.0517
Idaho,0.2642
Illinois,0.0045
Indiana,0.0067
Iowa,0.009
Kansas,0.0129
Kentucky,0.0079
Louisiana,0.0064
Maine,0.0082
Maryland,0.0072
Massachusetts,0.004
Michigan,0.0045
Minnesota,0.0059
Mississippi,0.0073
Missouri,0.0116
Montana,0.0481
Nebraska,0.013
New Hampshire,0.0065
New Jersey,0.0037
New Mexico,0.0335
New York,0.0041
North Carolina,0.0084
North Dakota,0.0149
Ohio,0.0053
Oklahoma,0.0121
Oregon,0.0376
Pennsylvania,0.004
Rhode Island,0.0039
South Carolina,0.0081
South Dakota,0.0121
Tennessee,0.0075
Texas,0.0125
Utah,0.677
Vermont,0.0073
Virginia,0.0113
Washington,0.0394
West Virginia,0.0093
Wisconsin,0.0046
Wyoming,0.1153
